,Content
0,@NLRG_ this is absolutely me with my wife tbh
1,XL condoms? you mean beta male cuck balloons?
2,@nerv_emma thanks
3,"this is slightly less of a mood rn because im recovering from a cold so cigs and energy drinks are both unappealing for once

but also i still very much want this, theorybrained bitches u know where to find me https://t.co/GSwtZA13Hb"
4,extremely unprofessional optometrist who teases you for having the worst eyes she's ever seen then asks you to estimate the length of her cock with your glasses off
5,@nellerdev @SpookyKotu because incest is wholesome
6,@TisAChance same
7,@deadmikaela whats the problem
8,@transkatgirl @DollfiesDaily haha heyy
9,@youjosekuhara uhhh you should have gone for it????? duh
10,@noumenalanxiety @Zrahnasil @shotasexfan @demolishisrael @MofuMarkus lawfxgs mad
11,@noumenalanxiety @Zrahnasil @shotasexfan @demolishisrael @MofuMarkus No.
12,@Mashu_Respecter @Zrahnasil @noumenalanxiety @shotasexfan @demolishisrael @MofuMarkus THANK U RYLAN
13,@noumenalanxiety @Zrahnasil @shotasexfan @demolishisrael @MofuMarkus nooooooo
14,@Zrahnasil @noumenalanxiety @shotasexfan @demolishisrael @MofuMarkus im literally chaotic neutral wtf do u want from me
15,@noumenalanxiety @shotasexfan @Zrahnasil @demolishisrael @MofuMarkus no killian is right
16,@youjosekuhara dude wtf i fuckin love ur mom now????
17,based sweden https://t.co/4u8nfCDjOe
18,@chickenbrained was this not already known?
19,@Mashu_Respecter i love you too rylan. wishing you sweet and clear dreams as always&lt;3
20,"gang, where we at https://t.co/nmzeGwwwL6"
21,@chickenbrained jealous
22,@goatlvrr mood
23,@deadgavin1 thats a common one
24,@Rocknocking @thicctatorx I HATE IT HERE I HATE IT HERE
25,"@chickenbrained awful based of you
our HOA would whine about it lol"
26,good morning https://t.co/hQrZ3KAq1Q
27,@CriticalMalthus honestly i don't pay attention because it's all bullshit. i wear a mask in businesses and on transit and refuse to everywhere else. i'm still neet so i have the privilege of not caring about business closures etc
28,week 89 out of 3 weeks of lockdown https://t.co/eDH5DSyFjk
29,"@Wisentius as you well ought be. retvrn, bring them back"
30,suburbia delenda est https://t.co/gG6yqtlrqn
31,@duncte123 👁️
32,@couriersicks @plesmasquerade @junestrings my wife is moth also
33,@esurientbasil @plesmasquerade @couriersicks @junestrings i don't really know anyone who regrets it
34,"@esurientbasil @plesmasquerade @couriersicks @junestrings please do it, i want my frens here"
35,https://t.co/y2ZL9iTTkp
36,"This Thanksgiving, I am grateful to the Gods I am still alive.
Ya-Inanna, shukran!"
37,@Boglar8 @gaccguattari so true bestie
38,"playing hoi4 with the girls b like, communist transbian orgy in da balkans lets fucking gooo"
39,@pr1nc3ssjanuary so am i &lt;3
40,"@Birdhead_d i already know about 2tt, they're fuckin great!!"
41,@ebeggin1 why did you stop
42,"@estro_genesis i'm in, what's your brand, whaddaya smoke chief"
43,@ebeggin1 haha heyy
44,"@Birdhead_d LET ME SEE YOU BURN
LET ME FUEL YOUR FIRE"
45,@shimapanzer @Zrahnasil hmm!
46,"@Zrahnasil @shimapanzer the ""i dont think"" is really funny lol"
47,@Zrahnasil PLEASE
48,@dysautic ya ik ur all good sis &lt;3
49,@secretsaIad y'aite?
50,@cymaballs need so bad
51,"@dysautic ok valid and based
but also

yes im a boy
yes im trans
yes im amab
yes i have titties
we exist, we are valid"
52,@cymaballs tfw.....
53,@Mashu_Respecter @terminallylizzy @ebeggin1 i guess that makes sense
54,@the_catgirl_ yeah
55,"@MofuMarkus @terminallylizzy @ebeggin1 croatian is a beautiful language, i would love to learn some eventually"
56,@MofuMarkus @terminallylizzy @ebeggin1 i have actually been a tito respecter for quite some time now
57,@Mashu_Respecter @terminallylizzy @ebeggin1 why so
58,@avaposting_ this isn't possible btw
59,"@Mashu_Respecter @terminallylizzy @ebeggin1 what, syndicalism?"
60,@cymaballs how did that go
61,"i want 2 smoke a ciggy while poundin an energy drink as some theorybrained bitch explains marxian economics and/or islamic eschatology 2 me

why is this so much 2 ask 4"
62,"not taking simple otc painkillers or cold medicine n stuff bc you ""don't like pills"" etc is one of the most infuriatingly privileged attitudes i regularly encounter but its perceived as a normal personality trait or even """"health-conscious"""""
63,"@tara_chara i guess the best thing to do is just say ""ok, what do i want the most?"" and then gear everything else towards that, and try to be flexible with whatever comes your way in that process"
64,"@estro_genesis yeah TK def reminds of fear factory a bit, i just really enjoy the little disco infusions into the already well-pulled-off techno-heavy industrial metal stuff tbh"
65,@tara_chara what do you wish was different about it?
66,@secretsaIad hhhhhhhh
67,"@ebeggin1 @terminallylizzy i see, ty"
68,@terminallylizzy @ebeggin1 or syndicalist if i said no to markets
